title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
X-Men: Throughout all Time,2026-06-30,movie,150.0,1.0,1.0,"Action, Adventure, Animation, Science Fiction",Jori Raine,"CyTwi, Mrmallard27, ScooterVoices, Enrico Arnoni, IDCVIGILANTE",US,en,unknown,"Two friends, James Xavier and Nathaniel Essex discover the mutant gene in the Victorian era. Originally, James decides that if the user wishes, they should figure out how to remove the gene. Nathaniel decides the gene makes them superior, so he does experiments to become a mutant himself (mutate) and end aging.  In the present, Essex is planning his grand return under the name “Mister Sinister.”  With the help of Magneto and the brotherhood of mutants, Sinister plans to make everyone a part of his “superior” race of mutants/mutates, with him attempting to lead mutants and humans alike, and ultimately rule the world.  The X-men have to come together to stop sinister and with the help of the past, future, and an unexpected ally…  (Not associated with Marvel or Marvel studios, this is a FAN-FILM!)","comic, x-men, magic and time travel",0.0,0,"Two friends, James Xavier and Nathaniel Essex discover the mutant gene in the Victorian era. Originally, James decides that if the user wishes, they should figure out how to remove the gene. Nathaniel decides the gene makes them superior, so he does experiments to become a mutant himself (mutate) and end aging.  In the present, Essex is planning his grand return under the name “Mister Sinister.”  With the help of Magneto and the brotherhood of mutants, Sinister plans to make everyone a part of his “superior” race of mutants/mutates, with him attempting to lead mutants and humans alike, and ultimately rule the world.  The X-men have to come together to stop sinister and with the help of the past, future, and an unexpected ally…  (Not associated with Marvel or Marvel studios, this is a FAN-FILM!) Action, Adventure, Animation, Science Fiction",1,0,0
Mother's Baby,2026-01-01,movie,108.0,1.0,1.0,Thriller,Johanna Moder,"Marie Leuenberger, Hans Löw, Claes Bang, Julia Franz Richter, Nina Fog",AT,de,"FreibeuterFilm, tellfilm, The Match Factory, ORF, SRF, SRG SSR","Forty-year-old Julia, a successful conductor, and her partner Georg are longing for a child when Dr. Vilfort, a fertility specialist with a private clinic, offers them hope with an experimental procedure. Julia becomes pregnant after successful treatment at the clinic. However, the birth does not go as planned and the baby is immediately taken away for additional treatment, leaving Julia and her husband in the dark about what has happened. When Julia is finally reunited with the child, she feels strangely distant. The baby’s presence puts a strain on their marriage as it becomes clear that Julia has doubts about whether the baby they have brought home is really hers."," family,  short film, dark comedy",0.0,0,"Forty-year-old Julia, a successful conductor, and her partner Georg are longing for a child when Dr. Vilfort, a fertility specialist with a private clinic, offers them hope with an experimental procedure. Julia becomes pregnant after successful treatment at the clinic. However, the birth does not go as planned and the baby is immediately taken away for additional treatment, leaving Julia and her husband in the dark about what has happened. When Julia is finally reunited with the child, she feels strangely distant. The baby’s presence puts a strain on their marriage as it becomes clear that Julia has doubts about whether the baby they have brought home is really hers. Thriller",0,0,0
shuteye,2026-05-01,movie,90.0,1.0,1.0,Horror,Anthony Leroy,"Leigha Stiles, Anthony Leroy",US,en,Elytra Collective,A student researching sleep paralysis slips into a lucid nightmare.,"suicide, nightmare, dream logic, narcissist, sleep paralysis",0.0,0,A student researching sleep paralysis slips into a lucid nightmare. Horror,0,0,0
Valencia - Chapter III: Sabadell,2026-01-26,movie,35.0,1.0,1.0,"Horror, Thriller, Mystery",Nicolás de Jesús,"Mike Lightwood, Dhani Marie Dalí","MX, ES",en,"Walt Nick's Pictures, MAVV, A. J. Luna Producciones","Third entry in The Valencia Saga.  A sitter got hired to take care an overprotected grown teen. While both discussing the up beats of life, their night turns more creepier than just a sitter chat.","urban legend, single take, myth",0.0,0,"Third entry in The Valencia Saga.  A sitter got hired to take care an overprotected grown teen. While both discussing the up beats of life, their night turns more creepier than just a sitter chat. Horror, Thriller, Mystery",0,0,0
Charlie the Wonderdog,2026-02-28,movie,95.0,1.0,1.0,"Action, Animation, Adventure, Comedy",Steve Ball,"Owen Wilson, Tabitha St. Germain, Sebastian Billingsley-Rodriguez, Anthony Bolognese, Lindsay Gibson",CA,en,"ICON Creative Studio, Centurion Pictures","Timid nine year old Sasha teams up with his beloved family dog Charlie, who gets abducted by aliens and returns with superpowers, to thwart a plan by the neighbour's sinister cat Puddy to destroy humanity.",dog,0.0,0,"Timid nine year old Sasha teams up with his beloved family dog Charlie, who gets abducted by aliens and returns with superpowers, to thwart a plan by the neighbour's sinister cat Puddy to destroy humanity. Action, Animation, Adventure, Comedy",0,0,0
LYCU Studios’ Justice League: The War For Olympus,2026-11-13,movie,140.0,1.0,1.0,"Action, Fantasy, Comedy",The Lego Knight,"Cassi Archives, Ricayu, SyTwi, Cassi Archives",US,en,LYCU Studios,After a mysterious battle in Olympus leaves the gods divided it’s up to the justice league to intervene and help stop a potential war amongst the gods that could easily destroy the mortal world,"epic, superhero team, action",0.0,0,"After a mysterious battle in Olympus leaves the gods divided it’s up to the justice league to intervene and help stop a potential war amongst the gods that could easily destroy the mortal world Action, Fantasy, Comedy",0,0,0
Olivia and the Invisible Earthquake,2026-01-21,movie,80.0,1.0,1.0,"Animation, Comedy, Drama, Family",Irene Iborra Rizo,unknown,"AR, BE, ES, FR",ca,"Citoplasmas Stop Motion, Cornelius Films, Bígaro Films, Vivement lundi !, Can Can Club, Panique!","Olivia, a 12-year-old middle class girl, is forced to reorganize her basic needs when her family (mother, little brother and herself) is evicted and forced to live in a squatted apartment on the edge of the big city, in a rough neighborhood. Her mother can no longer bear the situation and falls in a depression, so Olivia has to replace her. It means caring for her brother and her own mother, while dealing with the feeling of an emotional earthquake. But she is not alone, Olivia will make friends that will help her to see her own life from other points of view. Because things don’t always happen the way we want, but we can choose the way we live them.","stop motion, life changing",0.0,0,"Olivia, a 12-year-old middle class girl, is forced to reorganize her basic needs when her family (mother, little brother and herself) is evicted and forced to live in a squatted apartment on the edge of the big city, in a rough neighborhood. Her mother can no longer bear the situation and falls in a depression, so Olivia has to replace her. It means caring for her brother and her own mother, while dealing with the feeling of an emotional earthquake. But she is not alone, Olivia will make friends that will help her to see her own life from other points of view. Because things don’t always happen the way we want, but we can choose the way we live them. Animation, Comedy, Drama, Family",0,1,0
Duped (The Jezbel Experience),2026-12-11,movie,160.0,1.0,1.0,"Drama, Horror, Thriller","S.V. Henson, Jr.","Joy ""Babygirl"" Carter, Mona Gilliam",US,en,"Golden Motion Pictures, Epic Motion Pictures and Visions","Alexandria Wright meets Elijah Martinez and the demonic journey begins. Elijah Martinez finds himself ensnared in a romantic involvement with Alexandria Wright, an unfaithful Covert Narcissist. She convinces him they are soulmates and they take a vow before God for His blessing with the penalty of betrayal being death. After years pass, Alexandria forgets the vows and begins cheating behind Elijah's back. Just a week before Christmas, she abruptly betrays him. To his astonishment, she swiftly transitions to a new relationship, bringing with her the unsettling secret of transmitting an incurable sexually transmitted disease to her new partner. Then came Karma. Her victims arrive to spit on her dirty grave as her demise finally arrives."," family,  short film, dark comedy",0.0,0,"Alexandria Wright meets Elijah Martinez and the demonic journey begins. Elijah Martinez finds himself ensnared in a romantic involvement with Alexandria Wright, an unfaithful Covert Narcissist. She convinces him they are soulmates and they take a vow before God for His blessing with the penalty of betrayal being death. After years pass, Alexandria forgets the vows and begins cheating behind Elijah's back. Just a week before Christmas, she abruptly betrays him. To his astonishment, she swiftly transitions to a new relationship, bringing with her the unsettling secret of transmitting an incurable sexually transmitted disease to her new partner. Then came Karma. Her victims arrive to spit on her dirty grave as her demise finally arrives. Drama, Horror, Thriller",0,0,0
Spare,2026-09-25,movie,110.0,1.0,1.0,Horror,Josiah Eni,Josiah Eni,US,en,Josiah productions,"A recovering drug addicted teen faces more issues when she realizes there is a serial killer going specifically for her friend group for individual things that they’ve all done in their lives without regret. Now everyone must come together to figure out what sin they’ve committed so that they can get the killer off their backs, but even if they admit to their sins, they may be too bad to be redeemable. For a chance to be spared, admit your wrong doings.","redemption, guilt, teen",0.0,0,"A recovering drug addicted teen faces more issues when she realizes there is a serial killer going specifically for her friend group for individual things that they’ve all done in their lives without regret. Now everyone must come together to figure out what sin they’ve committed so that they can get the killer off their backs, but even if they admit to their sins, they may be too bad to be redeemable. For a chance to be spared, admit your wrong doings. Horror",0,0,0
The Mysterious Gaze of the Flamingo,2026-01-07,movie,104.0,1.0,1.0,Drama,Diego Céspedes,"Tamara Cortés, Matías Catalán, Paula Dinamarca, Claudia Cabezas, Luis Dubó",CL,es,"Quijote Films, Les Valseurs, ARTE France Cinéma, Wrong Men, Weydemann Bros., Irusoin","As an unknown and deadly disease begins to spread, legend has it that it is transmitted between two men, through a simple glance, when they fall in love. While people are accusing her family, Lidia must find out whether this myth is real or not.",lgbt,0.0,0,"As an unknown and deadly disease begins to spread, legend has it that it is transmitted between two men, through a simple glance, when they fall in love. While people are accusing her family, Lidia must find out whether this myth is real or not. Drama",0,0,0
The Last Whale Singer,2026-02-12,movie,82.0,1.0,1.0,"Adventure, Animation, Family",Reza Memari,unknown,"CA, US",en,"Telescope Animation, Big Bad Boo Studios, L'Atelier Animation, PFX, Der Besondere Kinderfilm, Creative Europe Media, Kuratorium Junger Deutscher Film","Grieving the loss of his parents, a teenage humpback whale must embrace his destiny and discover his mystical song to save the oceans from a terrible monster."," family,  short film, dark comedy",0.0,0,"Grieving the loss of his parents, a teenage humpback whale must embrace his destiny and discover his mystical song to save the oceans from a terrible monster. Adventure, Animation, Family",0,1,0
Wild Foxes,2026-03-18,movie,92.0,1.0,1.0,Drama,Valery Carnoy,"Samuel Kircher, Faycal Anaflous, Jef Jacobs, Anna Heckel, Jean-Baptiste Durand","BE, FR",fr,"Hélicotronc, Les Films du Poisson","At a sports boarding school, talented young boxer Camille narrowly survives a fatal accident, saved by his best friend Matteo. After a swift recovery, an inexplicable pain gradually takes hold of him, threatening his dreams of greatness and his relationship with the team. In the ring and in a man's world, there’s no room for weakness."," family,  romance,  short film, dark comedy",0.0,0,"At a sports boarding school, talented young boxer Camille narrowly survives a fatal accident, saved by his best friend Matteo. After a swift recovery, an inexplicable pain gradually takes hold of him, threatening his dreams of greatness and his relationship with the team. In the ring and in a man's world, there’s no room for weakness. Drama",0,0,0
Declan Sennott’s Intrusion,2026-02-06,movie,95.0,1.0,1.0,"Horror, Thriller, Drama",Declan Sennott,"Michael Bates Jr., Ash Sennott, Declan Sennott, Max Sennott",US,en,unknown,"Adam is a man who can’t feel any emotion whatsoever. When his doctor advises him experimental treatment, he sends over his nursing assistant to help him. But, that night, an intruder breaks in and says that his only goal is to make Adam feel every emotion. The catch? With 10 violent “acts” that will gradually build up to his possible death.","dark comedy, psychological thriller, extremist, bleak comedy, absurdist, psychological horror, gorefest",0.0,0,"Adam is a man who can’t feel any emotion whatsoever. When his doctor advises him experimental treatment, he sends over his nursing assistant to help him. But, that night, an intruder breaks in and says that his only goal is to make Adam feel every emotion. The catch? With 10 violent “acts” that will gradually build up to his possible death. Horror, Thriller, Drama",1,0,0
IronSight Pictures' HERONICS: Part 3 - The Rise Of The Indestructable Void,2026-06-08,movie,189.0,1.0,1.0,"Thriller, Horror, Science Fiction",Sidharth S Nair,"Sidharth S Nair, Mahir Absar, Soham Vattem",US,en,"IronSIght Pictures, Lunar Motion Pictures","The sequel to HERONICS: Part 1  and 2. The World is more destructed and a new Villain, VOIDMAN is rose to destroy all.","end of the world, void",0.0,0,"The sequel to HERONICS: Part 1  and 2. The World is more destructed and a new Villain, VOIDMAN is rose to destroy all. Thriller, Horror, Science Fiction",0,0,0
Anchorless,2026-12-05,movie,151.0,1.0,1.0,"Drama, Romance",Murillo Campos,"Alice Braga, Sofia Cordeiro, Bia Jordão, Graciely Junqueira","BR, US",pt,"MACP STUDIOS, Gran Maker Studios","During a trip to Brazil in 2022, Augusto (15), an introspective and dreamy young man, becomes enchanted by Antônio (16), a magnetic and unpredictable boy from Belém. Amid the heat of the World Cup and the waters reflecting a fleeting encounter, a fragile connection is born, stretching across distance when Augusto returns to Italy, turning desire into obsession. While Augusto loses himself in idealizations and the emptiness of delayed responses, Antônio continues his life between parties, friends, and fleeting loves. What begins as a promising romance crumbles under the weight of time, silence, and the things that were never said. As the years pass, Augusto is forced to face an inevitable truth: some loves do not belong to the future, they exist only in memory. An intimate and visceral portrait of love, loss, and growth, Anchorless delves into the fragility of first feelings and the pain of learning that not every story is destined to last.","love, lgbt teen, long distance relationship, teen drama, philosophic conflict, romantic rival, brazilian poetry",0.0,0,"During a trip to Brazil in 2022, Augusto (15), an introspective and dreamy young man, becomes enchanted by Antônio (16), a magnetic and unpredictable boy from Belém. Amid the heat of the World Cup and the waters reflecting a fleeting encounter, a fragile connection is born, stretching across distance when Augusto returns to Italy, turning desire into obsession. While Augusto loses himself in idealizations and the emptiness of delayed responses, Antônio continues his life between parties, friends, and fleeting loves. What begins as a promising romance crumbles under the weight of time, silence, and the things that were never said. As the years pass, Augusto is forced to face an inevitable truth: some loves do not belong to the future, they exist only in memory. An intimate and visceral portrait of love, loss, and growth, Anchorless delves into the fragility of first feelings and the pain of learning that not every story is destined to last. Drama, Romance",0,0,0
Mystic Vision,2026-06-12,movie,169.0,1.0,1.0,"Adventure, Comedy, Action, Music, Fantasy",The Lego Knight,"The Books Doctor, Jori Raine, I Don’t Care Bricks, The Lego Knight, Sarojam",US,en,LYCU Studios,"Welcome to a new side of the LYCU. Not only is this our first original film, but it's also a musical. Ben Fritzbricks is your ordinary 20-something, still trying to figure out who he is, but before he can find the answer, he quickly finds out that he has powers that allow him to see within the future and prevent any wrongdoings, along with a few others. What's interesting is that this is a family power, so he sets out to the kingdom his bloodline originated from, only to find out his place and his powers paint him as a villain. So, with a whole kingdom going after him and an evil monarchy that wants to change the last kingdom on Earth into a modern dystopia, it's up to Ben to defy destiny and become what this kingdom needs: a hero.","musical, fantasy world, emotional healing, original musical",0.0,0,"Welcome to a new side of the LYCU. Not only is this our first original film, but it's also a musical. Ben Fritzbricks is your ordinary 20-something, still trying to figure out who he is, but before he can find the answer, he quickly finds out that he has powers that allow him to see within the future and prevent any wrongdoings, along with a few others. What's interesting is that this is a family power, so he sets out to the kingdom his bloodline originated from, only to find out his place and his powers paint him as a villain. So, with a whole kingdom going after him and an evil monarchy that wants to change the last kingdom on Earth into a modern dystopia, it's up to Ben to defy destiny and become what this kingdom needs: a hero. Adventure, Comedy, Action, Music, Fantasy",0,0,0
SPECIOUS,2026-03-21,movie,140.0,1.0,1.0,Drama,Raeon George,"Malia Francis, Josh Grootenboer, Sydney Wambua, Ava De Luca, Jasmine Haughley",CA,en,Raeon Films,"A scorned student uses AI to spread a rumor about their ex-situationship, leading to unintended consequences.","friendship, artificial intelligence (a.i.), psychological, melodrama",0.0,0,"A scorned student uses AI to spread a rumor about their ex-situationship, leading to unintended consequences. Drama",0,0,0
Finn,2026-06-01,movie,10.0,1.0,1.0,"Drama, Adventure",Sullivan Tarrant,"Gideon Gamble, Woodrow Thompson, Olivia Driver",GB,en,unknown,"Indy and Finn are best friends who escape into the forest to create a fantasy film filled with heroes, monsters, and wooden swords. As they immerse themselves in their imaginary world, the real world quietly encroaches, Finn is moving away, and neither boy knows how to say goodbye.  Their playful filmmaking project becomes a means of clinging to a fleeting connection. Through toy knights, hand-drawn monsters, and whispered arguments, the boys wrestle with the inevitable changes that come with growing up.","coming of age, growing up, nature, filmmaking, childhood, young heroes, masculinity, kids, indy, coming of age drama",0.0,0,"Indy and Finn are best friends who escape into the forest to create a fantasy film filled with heroes, monsters, and wooden swords. As they immerse themselves in their imaginary world, the real world quietly encroaches, Finn is moving away, and neither boy knows how to say goodbye.  Their playful filmmaking project becomes a means of clinging to a fleeting connection. Through toy knights, hand-drawn monsters, and whispered arguments, the boys wrestle with the inevitable changes that come with growing up. Drama, Adventure",1,0,0
Vengeance Rising,2026-05-22,movie,152.0,1.0,1.0,,Aiden Palomo,"Aiden Palomo, Michael Sanchez, Jose Oviedo",US,en,unknown,Andrew Vengeance is determined to stop the MIC from attacking their city and knows they need a strong team to counter the CIA's threat.," family,  short film, dark comedy",0.0,0,Andrew Vengeance is determined to stop the MIC from attacking their city and knows they need a strong team to counter the CIA's threat. ,1,0,0
BIN BOY RISES,2026-08-13,movie,170.0,1.0,1.0,,unknown,"NOT DARCY MACKAY, NOT SAMUEL TAYLOR, NOT COREY KEANEN",US,en,Dar.inc,"bagman finds a crack baby inside a bin abandonned and alone he takes him in as his sidekick ""BIN BOY"" but when bagman goes missing and a mysterious message from the diddler is left he must confront his past","bagman, bin boy",0.0,0,"bagman finds a crack baby inside a bin abandonned and alone he takes him in as his sidekick ""BIN BOY"" but when bagman goes missing and a mysterious message from the diddler is left he must confront his past ",0,0,1
Resurrection,2026-04-01,movie,18.0,1.0,1.0,"Drama, Romance, Thriller, Comedy",Sam Zaslow-Braverman,"Susannah Berryman, Danny Ashkenasi, Isaac J. Conner, Dane Cruz, Norman W. Johnson",US,en,"Room With No Name, Red Castle Films, Waessa Productions","In the wake of a traumatic incident at a funeral, an aging widow is faced with a bizarre, impossible choice.","dark comedy, surreal, melancholy, surrealism, romance, sociopath, family, death, austere, short film, science fiction, suspense, fantasy",0.0,0,"In the wake of a traumatic incident at a funeral, an aging widow is faced with a bizarre, impossible choice. Drama, Romance, Thriller, Comedy",0,0,0
Epitaph,2026-08-10,movie,93.0,1.0,1.0,"Horror, Thriller",Harley Coleman,"Aylin Baykal, Zachary Chambers, Victorius Kingston, Anouska Leigh",US,en,CreepTV Productions,"Newlywed Anna and her husband relocate to Alaska, but their blissful life takes a dark turn when a car crash causes Anna to develop selective amnesia. The incident triggers agoraphobia and haunting flashbacks."," family,  short film, dark comedy",0.0,0,"Newlywed Anna and her husband relocate to Alaska, but their blissful life takes a dark turn when a car crash causes Anna to develop selective amnesia. The incident triggers agoraphobia and haunting flashbacks. Horror, Thriller",0,0,0
"Blessed: Live, Laugh,Run!",2026-03-27,movie,64.0,1.0,1.0,"Horror, Thriller",Katie Madonna Lee,"Ann Myrna, Julie Nurenberg, Katie Madonna Lee, Joan Marlowe, Dustin Phillipson",US,en,unknown,"In Indiana, a group of pro-life terrorist lure vulnerable young women into a trap. Which one will escape? Which one will be blessed?","rape, controversy, pot smoking, struggle for survival, midwest, religious cult, date rape, woman director, women killing women, middle america, rust belt, abortion, women's rights, american midwest, abortion clinic, birth control, manipulated woman, female driven, traumatized woman, dark, notre-dame, south bend, northwest indiana, abortionist, kidnapped, disturbing, roe v wade, indiana, strong female protagonist, rust belt mid west",0.0,0,"In Indiana, a group of pro-life terrorist lure vulnerable young women into a trap. Which one will escape? Which one will be blessed? Horror, Thriller",1,0,0
Valencia - Chapter IV: Albacete,2026-05-30,movie,25.0,1.0,1.0,"Horror, Thriller",Nicolás de Jesús,"Marco Valdovinos, Sergio Yeudiel, Amayrani Luna, Mike Lightwood, Dhani Marie Dalí","MX, ES",es,"Walt Nick's Pictures, MAVV, A. J. Luna Producciones","The fourth entrance in The Valencia Saga.  With no one believing the events in Asturias, Dion's situation takes an even more sinister turn.","single take, urban legends",0.0,0,"The fourth entrance in The Valencia Saga.  With no one believing the events in Asturias, Dion's situation takes an even more sinister turn. Horror, Thriller",0,0,0
Valencia - Chapter IV: Albacete,2026-05-30,movie,25.0,1.0,1.0,"Horror, Thriller",Nicolás de Jesús,"Marco Valdovinos, Sergio Yeudiel, Amayrani Luna, Mike Lightwood, Dhani Marie Dalí","MX, ES",es,"Walt Nick's Pictures, MAVV, A. J. Luna Producciones","The fourth entrance in The Valencia Saga.  With no one believing the events in Asturias, Dion's situation takes an even more sinister turn.","single take, urban legends",0.0,0,"The fourth entrance in The Valencia Saga.  With no one believing the events in Asturias, Dion's situation takes an even more sinister turn. Horror, Thriller",0,0,0
Weapon,2026-06-10,movie,65.0,1.0,1.0,"Drama, Music",Amirhosein Jafari,unknown,US,en,unknown,"After experiencing a traumatic event, a teenage boy takes refuge in a dilapidated school outside the city."," family,  romance,  short film, dark comedy, epic",0.0,0,"After experiencing a traumatic event, a teenage boy takes refuge in a dilapidated school outside the city. Drama, Music",1,1,0
